index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Coordinates,MonthSale,AgeBuilding,WeekdaySale,Weekend
0,Abbotsford,85 Turner St,2,house,1480000.0,S,Biggin,2016-12-03,2.5,3067,2.0,1.0,1.0,202.0,126.0,Yarra,-37.7996,144.9984,Northern Metropolitan,4019.0,"-37.7996, 144.9984",12,46.0,5,1
1,Abbotsford,25 Bloomburg St,2,house,1035000.0,S,Biggin,2016-02-04,2.5,3067,2.0,1.0,0.0,156.0,79.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019.0,"-37.8079, 144.9934",2,116.0,3,0
2,Abbotsford,5 Charles St,3,house,1465000.0,SP,Biggin,2017-03-04,2.5,3067,3.0,2.0,0.0,134.0,150.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019.0,"-37.8093, 144.9944",3,117.0,5,1
3,Abbotsford,40 Federation La,3,house,850000.0,PI,Biggin,2017-03-04,2.5,3067,3.0,2.0,1.0,94.0,126.0,Yarra,-37.7969,144.9969,Northern Metropolitan,4019.0,"-37.7969, 144.9969",3,47.0,5,1
4,Abbotsford,55a Park St,4,house,1600000.0,VB,Nelson,2016-06-04,2.5,3067,3.0,1.0,2.0,120.0,142.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0,"-37.8072, 144.9941",6,2.0,5,1
5,Abbotsford,129 Charles St,2,house,941000.0,S,Jellis,2016-05-07,2.5,3067,2.0,1.0,0.0,181.0,126.0,Yarra,-37.8041,144.9953,Northern Metropolitan,4019.0,"-37.8041, 144.9953",5,46.0,5,1
6,Abbotsford,124 Yarra St,3,house,1876000.0,S,Nelson,2016-05-07,2.5,3067,4.0,2.0,0.0,245.0,210.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019.0,"-37.8024, 144.9993",5,106.0,5,1
7,Abbotsford,98 Charles St,2,house,1636000.0,S,Nelson,2016-10-08,2.5,3067,2.0,1.0,2.0,256.0,107.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019.0,"-37.806, 144.9954",10,126.0,5,1
8,Abbotsford,6/241 Nicholson St,1,unit,300000.0,S,Biggin,2016-10-08,2.5,3067,1.0,1.0,1.0,0.0,126.0,Yarra,-37.8008,144.9973,Northern Metropolitan,4019.0,"-37.8008, 144.9973",10,46.0,5,1
9,Abbotsford,10 Valiant St,2,house,1097000.0,S,Biggin,2016-10-08,2.5,3067,3.0,1.0,2.0,220.0,75.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019.0,"-37.801, 144.9989",10,116.0,5,1
10,Abbotsford,411/8 Grosvenor St,2,unit,700000.0,VB,Jellis,2016-11-12,2.5,3067,2.0,2.0,1.0,0.0,126.0,Yarra,-37.811,145.0067,Northern Metropolitan,4019.0,"-37.811, 145.0067",11,46.0,5,1
11,Abbotsford,40 Nicholson St,3,house,1350000.0,VB,Nelson,2016-11-12,2.5,3067,3.0,2.0,2.0,214.0,190.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019.0,"-37.8085, 144.9964",11,11.0,5,1
12,Abbotsford,123/56 Nicholson St,2,unit,750000.0,S,Biggin,2016-11-12,2.5,3067,2.0,2.0,1.0,0.0,94.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,"-37.8078, 144.9965",11,7.0,5,1
13,Abbotsford,45 William St,2,house,1172500.0,S,Biggin,2016-08-13,2.5,3067,2.0,1.0,1.0,195.0,126.0,Yarra,-37.8084,144.9973,Northern Metropolitan,4019.0,"-37.8084, 144.9973",8,46.0,5,1
14,Abbotsford,7/20 Abbotsford St,1,unit,441000.0,SP,Greg,2016-05-14,2.5,3067,1.0,1.0,1.0,0.0,126.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,"-37.8016, 144.9988",5,46.0,5,1
15,Abbotsford,16 William St,2,house,1310000.0,S,Jellis,2016-10-15,2.5,3067,2.0,1.0,2.0,238.0,97.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019.0,"-37.809, 144.9976",10,126.0,5,1
16,Abbotsford,42 Henry St,3,house,1200000.0,S,Jellis,2016-07-16,2.5,3067,3.0,2.0,1.0,113.0,110.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019.0,"-37.8056, 144.993",7,136.0,5,1
17,Abbotsford,78 Yarra St,3,house,1176500.0,S,LITTLE,2016-07-16,2.5,3067,2.0,1.0,1.0,138.0,105.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019.0,"-37.8021, 144.9965",7,126.0,5,1
18,Abbotsford,196 Nicholson St,3,house,955000.0,S,Collins,2016-09-17,2.5,3067,3.0,1.0,0.0,183.0,126.0,Yarra,-37.8022,144.9975,Northern Metropolitan,4019.0,"-37.8022, 144.9975",9,46.0,5,1
19,Abbotsford,42 Valiant St,2,house,890000.0,S,Biggin,2016-09-17,2.5,3067,2.0,1.0,1.0,150.0,73.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019.0,"-37.8011, 145.0004",9,31.0,5,1
20,Abbotsford,3/72 Charles St,4,house,1330000.0,PI,Kay,2017-03-18,2.5,3067,4.0,2.0,2.0,780.0,135.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019.0,"-37.8073, 144.9952",3,117.0,5,1
21,Abbotsford,13/11 Nicholson St,3,townhouse,900000.0,S,Beller,2017-03-18,2.5,3067,3.0,2.0,2.0,0.0,126.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019.0,"-37.8093, 144.9959",3,7.0,5,1
22,Abbotsford,138/56 Nicholson St,3,unit,1090000.0,S,Jellis,2017-03-18,2.5,3067,3.0,2.0,2.0,4290.0,27.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,"-37.8078, 144.9965",3,47.0,5,1
23,Abbotsford,6/219 Nicholson St,2,unit,500000.0,S,Collins,2016-06-18,2.5,3067,2.0,1.0,1.0,0.0,60.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019.0,"-37.8015, 144.9972",6,46.0,5,1
24,Abbotsford,52a William St,2,house,1100000.0,PI,Biggin,2016-06-18,2.5,3067,2.0,2.0,1.0,124.0,135.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019.0,"-37.8079, 144.9977",6,3.0,5,1
25,Abbotsford,49 Park St,2,house,1315000.0,S,Marshall,2016-11-19,2.5,3067,2.0,1.0,0.0,147.0,85.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0,"-37.808, 144.994",11,116.0,5,1
26,Abbotsford,5/20 Abbotsford St,1,unit,426000.0,SP,Greg,2016-08-22,2.5,3067,1.0,1.0,1.0,0.0,126.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,"-37.8016, 144.9988",8,46.0,0,0
27,Abbotsford,48 Abbotsford St,3,house,1447500.0,PI,Nelson,2016-08-22,2.5,3067,3.0,3.0,1.0,166.0,174.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0,"-37.8017, 145.0001",8,4.0,0,0
28,Abbotsford,116/56 Nicholson St,1,unit,457000.0,S,Jellis,2016-08-22,2.5,3067,1.0,1.0,1.0,0.0,50.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,"-37.8078, 144.9965",8,46.0,0,0
29,Abbotsford,159 Park St,2,house,1135000.0,S,Nelson,2016-08-22,2.5,3067,2.0,2.0,2.0,98.0,128.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019.0,"-37.8005, 144.9952",8,96.0,0,0
30,Abbotsford,31 Turner St,4,house,1542000.0,S,Collins,2016-09-24,2.5,3067,4.0,3.0,1.0,0.0,126.0,Yarra,-37.7994,144.9965,Northern Metropolitan,4019.0,"-37.7994, 144.9965",9,46.0,5,1
31,Abbotsford,166 Gipps St,3,house,1290000.0,S,Biggin,2017-02-25,2.5,3067,3.0,2.0,2.0,147.0,18.0,Yarra,-37.805,144.9943,Northern Metropolitan,4019.0,"-37.805, 144.9943",2,47.0,5,1
32,Abbotsford,60 Stafford St,3,house,1290000.0,S,Biggin,2017-02-25,2.5,3067,3.0,1.0,1.0,168.0,124.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0,"-37.8007, 144.9958",2,67.0,5,1
33,Abbotsford,11/205 Gipps St,1,unit,470000.0,S,Nelson,2016-07-26,2.5,3067,1.0,1.0,1.0,0.0,50.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0,"-37.8055, 144.9961",7,3.0,1,0
34,Abbotsford,47 Studley St,2,house,1180000.0,S,Jellis,2016-11-27,2.5,3067,2.0,1.0,0.0,162.0,91.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019.0,"-37.8016, 144.9956",11,116.0,6,1
35,Abbotsford,45 Yarra St,3,house,1195000.0,SP,Jellis,2016-11-27,2.5,3067,3.0,2.0,1.0,120.0,128.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0,"-37.8022, 144.9954",11,18.0,6,1
36,Abbotsford,200 Nicholson St,2,house,1012500.0,S,Nelson,2016-05-28,2.5,3067,2.0,1.0,0.0,182.0,82.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019.0,"-37.8021, 144.9976",5,116.0,5,1
37,Abbotsford,27 Charles St,2,house,1030000.0,S,Biggin,2016-07-30,2.5,3067,2.0,1.0,1.0,172.0,81.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0,"-37.8086, 144.9946",7,86.0,5,1
38,Airport West,154 Halsey Rd,3,townhouse,840000.0,PI,Nelson,2016-09-03,13.5,3042,3.0,2.0,1.0,303.0,225.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0,"-37.718, 144.878",9,0.0,5,1
39,Airport West,50 Bedford St,3,house,730000.0,VB,Nelson,2016-12-03,13.5,3042,3.0,2.0,1.0,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,"-37.7203, 144.8755",12,51.0,5,1
40,Airport West,50 Bedford St,3,house,770000.0,SP,Nelson,2017-03-04,13.5,3042,3.0,2.0,1.0,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,"-37.7203, 144.8755",3,52.0,5,1
41,Airport West,23 Hart St,2,house,603000.0,S,Nelson,2017-03-04,13.5,3042,2.0,1.0,1.0,272.0,84.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464.0,"-37.7294, 144.888",3,67.0,5,1
42,Airport West,1/80 Hawker St,3,townhouse,700000.0,S,Brad,2017-03-04,13.5,3042,3.0,2.0,2.0,239.0,134.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464.0,"-37.7218, 144.8837",3,8.0,5,1
43,Airport West,1/37 Hillside Gr,3,house,600000.0,S,Maddison,2017-03-04,13.5,3042,2.0,1.0,1.0,290.0,116.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464.0,"-37.7273, 144.8744",3,37.0,5,1
44,Airport West,2/49 McIntosh St,2,unit,500000.0,VB,Barry,2017-03-04,13.5,3042,2.0,1.0,1.0,168.0,86.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464.0,"-37.7215, 144.8864",3,6.0,5,1
45,Airport West,54 Marshall Rd,3,house,720000.0,S,Barry,2016-08-06,13.5,3042,2.0,1.0,1.0,620.0,126.0,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464.0,"-37.7173, 144.8872",8,46.0,5,1
46,Airport West,36 Roberts Rd,4,house,785000.0,S,Considine,2016-08-06,13.5,3042,3.0,1.0,2.0,597.0,127.0,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464.0,"-37.7259, 144.8792",8,46.0,5,1
47,Airport West,11 Harrington Rd,6,house,725000.0,SP,Barry,2016-05-07,13.5,3042,6.0,3.0,2.0,976.0,186.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464.0,"-37.7239, 144.8735",5,36.0,5,1
48,Airport West,2/252 Parer Rd,2,townhouse,450000.0,S,Barry,2016-05-07,13.5,3042,2.0,1.0,1.0,110.0,90.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464.0,"-37.7216, 144.871",5,1.0,5,1
